Bx,By,Bz
-5.98, 3.76, -1.63
-1.48, 13.43, 9.10
3.87, 15.94, 13.77
8.09, 13.43, 14.70
11.46, 11.64, 10.97
13.15, 8.42, 10.50
15.12, 9.85, 8.63
11.89, 13.97, 11.67
8.09, 15.22, 10.97
2.74, 14.15, 10.97
0.21, 12.72, 7.23
-0.77, 1.43, -1.87
-5.98, 8.78, 4.43
1.62, 14.86, 11.90
4.99, 14.51, 13.30
9.63, 12.18, 12.13
11.32, 9.67, 10.73
14.56, 8.78, 9.10
12.31, 12.72, 12.37
8.51, 13.61, 12.60
6.26, 13.97, 11.67
1.76, 12.54, 9.33
0.07, 4.66, 0.47
-5.84, 4.66, 0.00
0.35, 13.61, 10.73
5.13, 13.97, 11.67
8.23, 11.10, 13.07
9.78, 10.21, 10.50
13.85, 7.88, 10.73
13.85, 10.75, 9.33
10.48, 13.97, 12.60
7.38, 13.61, 12.60
3.31, 14.51, 13.77
1.05, 8.78, 5.37
-3.87, 3.58, 3.73
-3.16, 12.00, 8.17
2.46, 14.51, 11.90
7.38, 12.89, 13.53
10.76, 10.75, 11.20
11.74, 8.42, 9.10
14.14, 9.67, 7.93
11.18, 12.36, 12.83
7.67, 13.97, 11.67
4.85, 14.33, 13.07
1.90, 12.72, 8.63
-1.76, 5.19, 2.10
-4.57, 5.19, 1.63
0.77, 14.51, 11.43
4.85, 15.40, 11.67
8.79, 12.89, 13.53
11.32, 9.31, 10.27
14.14, 6.45, 9.80
12.73, 10.03, 8.87
10.48, 13.61, 12.60
7.10, 14.33, 13.53
3.31, 13.43, 12.83
0.77, 8.78, 6.30
-4.01, -3.04, -6.30
-4.57, 10.21, 6.30
3.73, 15.40, 12.60
6.26, 11.82, 13.07
9.78, 13.07, 10.97
10.48, 9.67, 10.73
13.15, 7.34, 6.77
12.45, 10.03, 10.27
8.93, 14.86, 12.83
5.56, 15.58, 12.83
2.04, 11.82, 9.80
0.21, 5.55, 4.43
-5.56, 8.24, 3.27
0.91, 14.69, 11.67
5.13, 14.33, 12.13
8.09, 12.72, 15.17
10.90, 9.85, 7.70
14.14, 7.52, 9.80
13.71, 10.57, 10.50
10.48, 11.46, 12.13
6.40, 12.72, 10.97
4.85, 13.25, 11.67
2.18, 10.57, 6.30
-2.46, 3.94, -1.40
-2.74, 11.82, 7.93
3.87, 14.15, 11.43
8.51, 11.82, 12.60
10.06, 10.92, 11.43
13.15, 7.34, 9.10
13.85, 10.39, 7.93
12.59, 12.00, 10.97
9.35, 14.33, 13.07
5.27, 14.51, 13.30
1.62, 13.07, 9.57
-0.77, 3.58, -0.93
-5.70, 7.70, 2.57
1.62, 12.72, 12.37
7.38, 14.33, 14.00
9.21, 9.85, 10.50
12.45, 7.88, 9.33
13.71, 7.34, 10.50
13.01, 11.10, 11.67
9.78, 13.07, 12.83
6.12, 14.15, 14.70
2.18, 12.36, 6.30
-1.05, 3.58, 2.33
-5.42, 8.42, 3.50
2.74, 14.86, 11.43
6.40, 13.43, 12.83
10.06, 10.57, 12.37
12.59, 9.85, 10.03
13.57, 8.60, 8.87
12.17, 8.95, 11.67
9.07, 13.97, 13.53
5.98, 12.18, 13.07
2.18, 12.36, 7.70
0.49, 1.97, 1.17
-7.24, 4.30, 0.00
1.90, 13.79, 9.57
7.24, 14.15, 12.83
9.35, 10.39, 15.40
13.29, 7.16, 8.87
15.68, 8.78, 8.63
13.01, 11.10, 11.67
8.79, 12.89, 14.00
4.99, 12.72, 12.37
0.91, 9.67, 7.47
-2.74, -1.43, -4.67
-7.10, 6.63, 3.03
0.77, 13.43, 10.50
6.96, 13.43, 12.83
8.23, 11.82, 11.20
12.03, 8.78, 10.97
15.54, 7.52, 10.27
12.87, 9.85, 12.83
8.79, 12.18, 10.73
4.99, 13.07, 12.37
1.48, 11.46, 9.80
0.63, 2.87, 0.47
-6.54, 3.76, 0.23
-0.77, 13.97, 9.80
5.42, 13.25, 13.07
7.95, 12.18, 14.00
10.90, 9.49, 10.50
12.87, 6.98, 8.63
12.73, 10.03, 10.27
9.92, 12.18, 11.20
6.54, 13.25, 13.53
3.59, 14.86, 10.50
0.35, 8.60, 6.07
-5.42, -0.18, -2.57
-1.48, 12.72, 8.63
4.43, 14.51, 14.23
7.95, 12.54, 13.53
10.76, 10.39, 11.67
12.87, 9.49, 10.97
13.85, 9.67, 11.20
10.48, 12.54, 12.13
7.38, 13.25, 11.20
4.01, 14.33, 10.73
1.76, 8.24, 2.33
-4.43, -6.09, -9.33
-4.01, 12.36, 6.30
2.60, 15.76, 12.13
7.81, 12.72, 12.83
9.21, 11.64, 12.83
13.15, 8.42, 11.43
14.98, 8.60, 9.33
10.62, 11.64, 13.30
7.67, 15.04, 14.47
3.16, 14.33, 11.67
0.49, 11.28, 8.17
-4.43, 2.87, -0.93
-0.49, 11.46, 7.47
4.85, 14.33, 12.13
7.81, 12.36, 13.77
10.48, 9.67, 11.20
13.57, 7.88, 11.20
12.73, 10.75, 13.53
9.63, 12.54, 12.13
6.54, 13.25, 14.47
2.88, 13.97, 12.13
0.35, 6.45, 4.67
-5.27, 2.87, -0.47
0.07, 13.61, 10.73
5.27, 14.15, 13.30
8.93, 11.28, 13.77
11.46, 10.21, 8.63
13.71, 10.57, 10.03
12.45, 10.75, 9.33
11.60, 12.89, 11.67
6.68, 12.72, 13.30
2.74, 12.72, 12.83
1.62, 9.49, 5.83
-3.87, 3.22, 0.47
-0.63, 13.79, 10.50
5.70, 15.40, 13.07
8.09, 11.64, 12.83
12.03, 9.49, 11.43
13.71, 6.63, 10.50
12.87, 10.21, 10.97
9.35, 12.89, 11.67
5.98, 15.40, 13.07
2.18, 13.07, 11.43
-0.77, 5.01, 0.93
-9.21, -1.43, -3.27
-1.05, 12.54, 7.47
5.42, 13.61, 11.67
7.95, 12.18, 13.53
12.17, 8.60, 12.13
13.71, 9.49, 10.50
12.45, 10.39, 10.27
9.78, 13.43, 14.70
6.12, 14.15, 12.37
1.48, 12.89, 10.73
-0.91, 2.69, -2.10
-6.96, 6.45, 1.87
1.90, 15.94, 10.03
5.56, 14.51, 13.30
8.37, 12.72, 13.77
11.18, 9.49, 10.97
13.57, 9.31, 8.87
13.15, 10.92, 9.57
9.49, 14.86, 13.30
6.12, 13.43, 12.37
1.90, 10.92, 8.63
-0.63, -4.84, -7.23
-13.71, -8.24, -8.40
-1.90, 12.54, 7.93
3.45, 15.04, 12.60
7.95, 12.54, 14.00
10.62, 9.49, 11.43
13.71, 8.78, 9.10
12.87, 10.21, 10.50
10.20, 11.82, 15.40
5.98, 14.69, 12.60
3.59, 12.72, 10.50
-0.21, 6.45, 3.73
-7.81, 2.51, -2.80
-3.02, 11.82, 7.00
2.74, 16.66, 12.37
5.98, 12.89, 14.93
10.34, 9.49, 12.83
11.89, 8.95, 11.20
13.01, 10.03, 8.40
10.48, 11.82, 11.20
7.10, 13.25, 11.67
3.59, 12.72, 12.37
-0.77, 8.95, 7.00
-4.57, 4.12, 1.63
-1.20, 13.79, 10.50
4.43, 14.51, 12.37
7.95, 12.54, 15.40
10.20, 9.31, 11.20
12.45, 7.52, 8.87
12.87, 10.57, 10.03
11.32, 12.18, 13.53
6.96, 14.15, 14.23
1.62, 13.07, 9.57
-0.21, 5.01, 0.00
-8.51, 1.61, -2.57
-0.63, 15.22, 9.57
4.85, 15.04, 13.07
8.65, 11.64, 13.30
11.04, 8.24, 9.80
14.14, 8.60, 7.93
12.45, 10.03, 11.20
10.62, 13.07, 12.83
6.82, 13.25, 11.20
2.04, 13.97, 9.80
-1.05, 8.24, 4.67
-5.13, 8.42, 3.03
-0.77, 16.12, 10.73
4.43, 14.86, 10.03
7.81, 12.72, 12.83
9.78, 10.57, 11.43
12.73, 8.24, 10.27
14.28, 9.85, 9.57
11.74, 12.72, 10.50
8.23, 15.04, 10.73
4.71, 14.51, 14.23
0.77, 12.36, 8.17
-2.74, 9.67, 3.27
-2.46, 12.54, 7.47
2.74, 16.30, 11.43
4.71, 14.86, 12.83
8.79, 12.54, 13.07
11.18, 8.78, 10.97
14.14, 8.60, 10.27
12.45, 11.10, 10.73
10.20, 14.69, 12.13
6.96, 15.58, 14.70
2.32, 15.76, 11.20
0.21, 9.85, 5.83
-6.54, 3.76, 0.70
-3.02, 13.61, 8.87
3.45, 15.40, 11.67
6.54, 14.69, 13.07
9.21, 11.64, 12.37
13.01, 10.03, 10.73
12.31, 10.92, 11.90
11.46, 14.86, 12.83
8.65, 14.15, 12.37
4.43, 13.43, 12.83
-0.35, 11.64, 6.77
-5.27, 8.24, 4.20
-2.74, 15.40, 8.40
3.31, 15.58, 12.37
7.10, 13.25, 14.00
9.21, 12.36, 11.43
12.31, 8.06, 12.37
14.56, 9.13, 9.10
11.60, 11.10, 10.73
10.06, 15.22, 12.83
6.82, 15.40, 13.53
1.62, 12.36, 10.97
-3.31, 8.24, 4.67
-5.70, 9.85, 5.83
1.34, 14.51, 9.10
5.13, 15.76, 11.67
8.65, 13.07, 12.83
9.78, 10.57, 11.90
12.59, 7.70, 10.03
14.56, 11.28, 10.03
10.34, 13.79, 12.83
6.96, 14.15, 13.77
3.16, 15.40, 13.07
0.21, 13.43, 9.10
-3.73, 9.13, 4.90
-1.34, 15.76, 7.47
3.59, 16.66, 14.23
7.52, 14.51, 13.30
9.49, 12.72, 11.90
12.31, 10.21, 12.37
13.29, 10.75, 11.20
11.46, 13.43, 12.83
8.79, 14.69, 13.07
4.57, 16.48, 15.40
0.91, 12.54, 9.33
-3.45, 6.63, 3.50
-4.71, 10.75, 6.53
2.60, 16.48, 11.20
4.85, 15.76, 13.07
8.51, 13.61, 13.53
11.32, 10.75, 11.20
12.87, 8.78, 12.37
12.59, 10.92, 9.57
9.49, 13.79, 12.83
4.57, 15.04, 14.00
0.63, 13.25, 8.87
-5.27, 3.58, -0.93
-8.79, 9.49, 2.57
1.48, 15.76, 11.67
5.27, 15.22, 12.37
8.37, 12.00, 14.70
10.62, 11.28, 10.03
12.87, 7.34, 9.10
13.29, 11.46, 10.73
10.20, 12.54, 12.60
6.12, 15.22, 13.30
-0.77, 11.82, 10.27
-2.60, -0.54, -2.57
-8.79, 6.98, 3.50
-0.07, 15.94, 10.97
5.13, 15.40, 12.60
8.79, 13.25, 14.00
11.18, 11.64, 11.90
13.15, 9.13, 13.30
10.90, 11.64, 10.97
9.63, 15.04, 12.60
5.84, 14.86, 12.37
2.46, 15.58, 10.97
-4.01, 3.76, 0.23
-10.62, 6.45, 0.93
-1.34, 15.76, 8.40
3.87, 16.66, 13.77
6.54, 15.04, 13.53
9.63, 11.46, 12.60
11.32, 9.67, 12.60
12.87, 10.57, 9.57
10.06, 13.79, 11.43
8.93, 14.51, 12.37
5.98, 13.61, 12.60
1.76, 15.04, 9.33
-3.87, 8.60, 4.67
-5.27, 13.97, 6.07
1.05, 18.09, 10.97
4.71, 15.22, 12.83
7.52, 12.00, 11.90
10.90, 11.28, 9.10
12.17, 9.31, 10.27
13.85, 11.46, 9.33
11.04, 13.61, 13.53
6.96, 14.51, 10.03
3.73, 15.76, 14.47
0.63, 12.89, 8.87
-1.05, 7.88, 4.20
-5.84, 4.66, 1.40

