Bx, By, Bz
14.08, 25.18, 10.92
5.76, 24.34, 19.73
-1.60, 15.81, 21.14
0.07, 15.81, 19.53
2.15, 12.69, 14.93
4.79, 7.07, 9.12
11.86, 11.86, 7.71
10.61, 21.22, 13.92
6.73, 18.31, 20.74
3.68, 12.48, 18.73
2.01, 12.48, 17.93
1.04, 11.44, 16.93
-0.49, 6.66, 10.32
7.56, 5.83, 9.12
10.75, 15.19, 12.92
9.64, 21.01, 14.93
5.20, 18.52, 18.53
-0.76, 14.98, 20.34
0.62, 14.98, 17.53
2.84, 7.49, 10.32
10.06, 7.49, 3.91
13.39, 13.32, 4.71
11.44, 18.73, 12.72
3.12, 19.56, 22.34
-1.73, 12.69, 19.33
-2.01, 14.77, 18.13
-0.62, 12.69, 16.93
3.68, 7.49, 11.12
9.92, 10.61, 8.92
7.28, 19.56, 16.33
4.09, 18.93, 20.94
-1.60, 15.40, 20.74
0.21, 18.52, 18.53
1.73, 9.99, 13.92
4.92, 1.87, 7.31
8.25, 4.37, 7.31
10.19, 16.02, 11.72
10.47, 22.26, 15.73
-0.21, 19.56, 21.14
-5.48, 19.56, 20.74
1.60, 11.44, 13.72
6.17, 4.99, 7.51
12.55, 7.07, 4.31
14.91, 15.19, 8.52
9.09, 23.09, 15.33
2.01, 17.89, 20.34
-4.37, 16.64, 19.94
-2.01, 14.77, 16.13
2.57, 6.66, 9.52
9.09, 7.70, 4.91
13.25, 13.52, 5.31
9.64, 20.18, 13.32
7.56, 23.30, 17.93
1.73, 14.15, 20.74
0.07, 17.48, 17.93
0.49, 11.44, 14.12
3.26, 8.53, 9.32
12.69, 11.44, 4.51
17.55, 21.22, 4.71
12.97, 26.84, 14.12
2.15, 13.94, 18.93
1.60, 16.85, 19.33
5.06, 14.56, 15.93
7.56, 7.07, 6.71
14.63, 7.28, 0.50
14.91, 14.36, 4.51
12.83, 20.81, 11.92
5.90, 21.22, 18.33
2.01, 13.32, 19.13
2.57, 13.73, 17.13
0.49, 11.03, 12.12
6.87, 8.53, 7.31
13.80, 12.28, 6.11
14.63, 22.26, 8.92
9.92, 22.68, 15.73
3.68, 13.32, 19.13
1.87, 16.44, 19.33
2.70, 12.28, 15.33
5.20, 6.03, 8.52
13.66, 8.74, 4.31
19.21, 17.48, 3.91
14.63, 28.09, 9.32
6.87, 21.43, 19.33
-0.07, 21.43, 21.74
7.00, 23.30, 16.73
11.44, 11.65, 5.11
15.05, 9.99, -0.50
16.58, 15.60, 5.31
12.69, 23.51, 12.12
6.03, 18.10, 18.93
1.87, 12.69, 18.13
-0.35, 15.19, 18.93
3.54, 11.03, 13.72
12.83, 9.15, 5.11
17.41, 19.77, 1.70
17.69, 30.17, 7.31
